Date ,10:00 AM,,,,,,,,,,,,,,,,,,,,,,,,Air parameters ,,,,2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,Air parameters ,,
,Replicate 1 T1,,,,Replicate 2 T1,,,,Replicate 3 T1,,,,Replicate 1 T2,,,,Replicate 2 T2,,,,Replicate 3 T2,,,,Lux,Air temp. ,Rh %,,Replicate 1 T1,,,,Replicate 2 T1,,,,Replicate 3 T1,,,,Replicate 1 T2,,,,Replicate 2 T2,,,,Replicate 3 T2,,,,Lux,RH%,Air temp. 
,pH.,EC. ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,,,,,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,pH,EC ,TDS ,Water temp. ,,,
16/4/2024,6.8,1.44,0.72,25,7,1.33,0.665,25.2,7,1.33,0.665,24.3,6.9,1.89,0.945,25,7,1.95,0.975,26,6.9,1.8,0.9,25.3,7750,26.9,63.5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17/4/2024,6.3,1.48,0.74,28.3,6.7,1.37,0.685,27.4,6.3,1.37,0.685,26.4,6.2,1.91,0.955,26.9,6,1.91,0.955,26.9,6.1,1.9,0.95,28.4,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18/4/2024,6.6,1.72,0.86,25.3,6.7,1.71,0.855,25.8,6.8,1.73,0.865,24.8,6.7,2.17,1.085,25,6.5,2.27,1.135,24.9,6.3,2.22,1.11,25.6,-,-,-,,6.8,1.75,0.875,25.8,6.7,1.75,0.875,25.8,6.8,1.72,0.86,25.8,6.7,2.17,1.085,26,6.5,2.27,1.135,25.8,6.3,2.2,1.1,26.6,-,-,-
19/4/2024,6.3,1.78,0.89,24.7,6.2,1.79,0.895,25,6.3,1.75,0.875,24.3,6.1,2.22,1.11,24.6,6,2.3,1.15,24.9,5.8,2.27,1.135,25.8,-,-,-,,6.1,1.8,0.9,27.8,5.9,1.76,0.88,27.6,6.3,1.75,0.875,28.2,6.2,2.21,1.105,28.3,6.1,2.23,1.115,28.6,6.9,2.25,1.125,27.6,-,-,-
20/4/2024,5.9,1.79,0.895,22.8,5.8,1.75,0.875,24,5.6,1.78,0.89,24.6,5.8,2.22,1.11,25.2,6.5,2.24,1.12,24,6.7,2.25,1.125,24.7,-,-,-,,6.1,1.79,0.895,28.3,5.9,1.74,0.87,27.8,5.8,1.78,0.89,27.6,5.7,2.3,1.15,25.8,6,2.23,1.115,27,5.7,2.26,1.13,27.8,-,-,-
21/4/2024,6,1.78,0.89,23.9,5.7,1.76,0.88,23.1,5.7,1.75,0.875,23.6,5.8,2.2,1.1,23.2,5.9,2.22,1.11,25.4,5.6,2.26,1.13,24.9,-,-,-,,6,1.78,0.89,23.9,6.2,1.73,0.865,25.8,6.2,1.73,0.865,26,6,2.26,1.13,26.2,6.1,2.23,1.115,21.3,6.2,2.24,1.12,27.1,-,-,-
22/4/2024,6.2,1.76,0.88,23.6,6,1.71,0.855,23.8,6.1,1.73,0.865,25.4,6.1,2.16,1.08,24.2,6,2.28,1.14,24.2,5.8,2.22,1.11,25.1,77040,24.2,55.3,,6.1,1.75,0.875,25.6,5.9,1.71,0.855,25.6,6,1.73,0.865,25.4,6.1,2.17,1.085,25.7,5.9,2.28,1.14,25.7,5.8,2.22,1.11,27,79490,24.9,55.6
23/4/2024,5.7,1.76,0.88,24.3,5.5,1.71,0.855,24.5,5.7,1.73,0.865,24.3,5.7,2.18,1.09,24.8,5.6,2.29,1.145,24.8,5.5,2.23,1.115,26.2,70360,28.5,53.6,,5.7,1.76,0.88,27.3,5.7,1.73,0.865,27.4,5.8,1.76,0.88,27.6,5.8,2.18,1.09,22.9,5.7,2.3,1.15,28,5.6,2.23,1.115,28.2,6212,28.1,55.3
24/4/2024,6,1.75,0.875,25,5.8,1.71,0.855,25.2,5.9,1.72,0.86,25.4,5.8,2.18,1.09,25.6,5.8,2.22,1.11,25.8,5.7,2.24,1.12,26.7,7254,23.9,44.2,,5.9,1.75,0.875,27.5,5.9,1.74,0.87,27.9,5.8,1.76,0.88,28.2,5.7,2.2,1.1,28.9,5.7,2.21,1.105,29,5.6,2.25,1.125,29.8,5162,25.6,62.1
25/4/2024,6,1.76,0.88,24,5.7,1.7,0.85,24,5.8,1.75,0.875,27,5.8,1.75,0.875,24.2,5.6,2.31,1.155,24.5,5.5,2.25,1.125,24.5,36640,27.4,70.2,,6,1.76,0.88,27,5.8,1.7,0.85,27,5.9,1.74,0.87,27,5.6,2.2,1.1,27.5,5.5,2.3,1.15,27.6,5.5,2.26,1.13,27.6,49230,31.4,59.8
26/4/2024,6,1.75,0.875,23.6,5.7,1.7,0.85,23.5,5.9,1.75,0.875,23.6,5.6,2.2,1.1,23.7,5.7,2.3,1.15,23.9,5.5,2.25,1.125,23.8,20070,26,72.3,,6,1.75,0.875,26.2,5.7,1.7,0.85,26.4,5.9,1.74,0.87,26.5,5.7,2.2,1.1,26.7,5.7,2.29,1.145,26.9,5.6,2.23,1.115,27,46260,29.5,60.2
27/4/2024,6.2,1.72,0.86,22,5.9,1.7,0.85,22,6,1.73,0.865,22.2,5.8,2.2,1.1,22.2,5.9,2.3,1.15,22.3,5.7,2.24,1.12,22.4,13230,24.5,71,,6.2,1.71,0.855,26,6,1.7,0.85,26.2,6,1.72,0.86,26.4,5.9,2.19,1.095,26.4,5.9,2.3,1.15,26.5,5.8,2.23,1.115,26.5,29810,26.2,61.2
28/4/2024,6.2,1.71,0.855,22,5.9,1.7,0.85,22,6,1.72,0.86,22.33,5.9,2.2,1.1,22.3,5.9,2.3,1.15,26.4,5.7,2.24,1.12,22.3,25030,23.7,72.5,,6.2,1.71,0.855,26,5.9,1.7,0.85,26.2,-,-,-,-,5.9,2.2,1.1,26.2,5.9,2.3,1.15,26.4,5.7,2.24,1.12,26.5,32660,25.5,67.3
29/4/2024,6.1,1.72,0.86,22,6.2,1.7,0.85,22,6,1.7,0.85,22.2,6,1.71,0.855,22.4,5.9,2.29,1.145,22.5,5.8,2.22,1.11,22.5,26630,22,70,,6.1,1.72,0.86,25,6.3,1.7,0.85,25.2,6.1,1.7,0.85,25.2,6,1.7,0.85,25.3,6,2.29,1.145,25.4,5.8,2.22,1.11,25.3,36260,25,70.2
30/4/2024,6.4,1.74,0.87,23.2,6.2,1.64,0.82,23.2,6.2,1.79,0.895,23.2,6,2.19,1.095,23.2,6.1,2.22,1.11,23.5,6,2.18,1.09,23.5,33450,24.1,73.5,,6.4,1.74,0.87,26.3,6.2,1.64,0.82,26.2,6.2,1.79,0.895,26.3,6,2.18,1.09,26.3,6.1,2.22,1.11,26.2,6,2.18,1.09,26.4,37780,26.2,63.2
1-5-2024,6.8,1.96,0.98,23,6.4,1.84,0.92,23.1,6.2,2.03,1.015,23.2,6.5,2.44,1.22,23,6.4,2.5,1.25,23,6.8,1.75,0.875,23.2,26880,23.1,77.9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2-5-2024,6.6,2.04,1.02,24.3,6.5,1.82,0.91,23.8,6.2,1.95,0.975,13.5,6.3,2.34,1.17,23.5,6.2,2.42,1.21,23.6,6.7,1.83,0.915,23.9,39420,26.1,62.4,,6.6,1.43,0.715,22.3,6.5,1.41,0.705,21.3,6.6,1.44,0.72,22.6,6.6,1.81,0.905,21.7,6.5,1.82,0.91,21.9,6.7,1.51,0.755,22.3,3030,28.2,62.7
3-5-2024,6.5,2.11,1.055,20.6,6.4,2.1,1.05,20.5,6.4,2.2,1.1,20,6.4,2.3,1.15,20.3,6.5,2.28,1.14,21,6.5,2.31,1.155,20.8,2431,26.5,62.1,,6.5,1.1,0.55,23.6,6.4,2.18,1.09,22.5,6.4,2.19,1.095,22.8,6.4,2.61,1.305,22.4,6.4,2.6,1.3,22.5,6.4,2.35,1.175,22.8,2883,27.5,60.6
4-5-2024,6.7,2.4,1.2,20,6.4,2.3,1.15,19.6,6.3,2.14,1.07,19.3,6.3,2.59,1.295,19.5,6.3,2.56,1.28,19.3,6.4,2.23,1.115,20.3,25700,26,64.1,,6.5,2.9,1.45,23.5,6.5,2.5,1.25,23.8,6.4,2.13,1.065,23,6.3,2.5,1.25,22.9,6.3,2.91,1.455,22.6,6.5,2.25,1.125,23.2,32550,25.8,61.5
5-5-2024,6.7,1.78,0.89,19.7,6.5,1.97,0.985,19.2,6.4,2.29,1.145,19,6.4,2.49,1.245,19.1,6.4,2.52,1.26,19,6.5,2.18,1.09,19.8,24150,25.3,63.3,,6.6,1.99,0.995,21.6,6.4,1.95,0.975,22.1,6.4,2.8,1.4,22.3,6.4,2.5,1.25,21.8,6.4,2.51,1.255,21.9,6.6,2.21,1.105,22,41770,29.9,49.7
6-5-2024,6.8,1.69,0.845,18.2,6.7,1.93,0.965,19.7,6.5,2.8,1.4,17.3,6.5,2.58,1.29,17.2,6.5,2.18,1.09,18.2,6.5,2.18,1.09,21.9,2870,22.6,77,,6.5,1.98,0.99,27.6,6.4,1.9,0.95,21.3,6.4,2.6,1.3,21,6.4,2.52,1.26,21.1,6.4,2.55,1.275,22.1,6.5,2.2,1.1,21.9,35770,25,65.2
7-5-2024,7.2,1.9,0.95,17.2,7,1.85,0.925,17,6.8,2.4,1.2,16.9,6.9,2.15,1.075,19.8,6.8,2.5,1.25,16.9,6.8,2.11,1.055,17.7,22530,20.7,72.4,,5.7,1.89,0.945,20.5,5.9,1.83,0.915,19.5,5.9,2.3,1.15,19.6,5.9,2.44,1.22,19.1,6,2.48,1.24,19.1,6,2.12,1.06,19.9,36610,27.1,54.9
8-5-2024,6.1,1.83,0.915,18.8,6.2,1.86,0.93,18.9,6.5,2.31,1.155,18.3,6.6,2.5,1.25,18,6.4,2.53,1.265,18.1,6.5,2.13,1.065,19.1,25600,25.6,63.1,,6.4,1.81,0.905,19.9,6.4,1.75,0.875,19.5,6.3,1.89,0.945,18.9,6.4,2.13,1.065,21.9,6.5,2.43,1.215,21.8,6.5,2.12,1.06,22.3,3772,23.1,61.5
9-5-2024,6.4,1.79,0.895,19,6.4,1.68,0.84,18.5,6.4,1.94,0.97,18.3,6.5,2.33,1.165,18.3,6.5,2.38,1.19,18.5,6.4,2.16,1.08,19,27070,26.3,64.5,,6.3,1.77,0.885,20.6,6.4,1.76,0.88,20.3,6.4,1.91,0.955,20,6.4,2.35,1.175,20,6.5,2.4,1.2,20.3,6.5,2.13,1.065,21.2,36770,26.1,61
10-5-2024,6.5,1.78,0.89,18.9,6.4,1.78,0.89,18.6,6.4,1.92,0.96,18.1,6.4,2.36,1.18,18.1,6.5,2.4,1.2,17.8,6.5,2.18,1.09,19,23500,23.6,59.3,,6.6,1.74,0.87,21.5,6.6,1.65,0.825,20.8,6.5,1.87,0.935,20.5,6.6,26.7,13.35,20.6,6.6,2.31,1.155,20.2,6.7,1.98,0.99,21.5,22800,27.3,60.1
11-5-2024,6.5,1.79,0.895,18.8,6.5,1.78,0.89,18.5,6.5,1.9,0.95,18.3,6.5,2.3,1.15,18,6.6,2.42,1.21,17.6,6.4,2.14,1.07,18.6,25030,24.8,70.5,,6.5,1.74,0.87,23.1,6.4,1.76,0.88,22.9,6.4,1.86,0.93,21.6,6.5,2.2,1.1,21.1,6.5,2.21,1.105,21.5,6.6,1.98,0.99,22,37870,30.9,49.2
12-5-2024,7.1,1.75,0.875,19.8,7,1.64,0.82,19.4,6.9,1.77,0.885,19,6.9,2.19,1.095,19.3,6.8,2.23,1.115,18.9,6.9,1.93,0.965,20.4,33100,29.9,56.6,,7.1,1.76,0.88,22.5,6.9,1.66,0.83,25,6.7,1.75,0.875,20.8,6.9,2.22,1.11,20.5,6.8,2.25,1.125,20.4,6.9,1.95,0.975,21.2,3090,28.5,59.7
13/4/2024,6.8,1.86,0.93,18.5,6.7,1.66,0.83,18.8,6.7,1.93,0.965,18,6.6,2.46,1.23,18.3,7.1,2.56,1.28,18.5,7,2.1,1.05,19,26660,24.6,69,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
14/4/2024,7,1.87,0.935,18.6,7,1.67,0.835,18.3,6.8,1.9,0.95,18.1,6.8,1.9,0.95,18.1,6.7,2.26,1.13,17.9,6.9,2.13,1.065,19.2,2554,30,59.4,,6.9,1.88,0.94,21.7,7,1.74,0.87,21,7.1,1.95,0.975,20.6,7.1,2.2,1.1,20.7,7.2,2.5,1.25,20,7.1,2.2,1.1,21.2,12720,25.3,64.2

