,EXP 2,,,,,,,,,
Date ,plant NO. ,plant height  (cm),shoot length (cm),root length (cm),head diameter (cm),stem diameter  (cm),total weight (g),shoot weight (g),root weight (g),no. of leaves
,1,11,5,6,7*8,0.3,5.13,2.41,2.72,7
,2,13,7,6,6*7,0.3,5,2.14,2.86,7
,3,12.5,5,7.5,5*6,0.3,5.25,1.58,3.67,5
,4,13,7,6,7*8,0.3,4.85,2.45,2.4,7
,5,12,6,6,6*4,0.2,5.36,1.93,3.43,7
,6,13,7,6,6*4.5,0.3,3.9,1.74,2.16,6
,7,12,6,6,6*.6.5,0.3,5.38,2.4,2.98,7
,8,13,7,6,6.5*5,0.2,3.67,1.88,1.79,6
,9,12,6,6,6*5,0.3,4.92,1.89,3.03,8
,10,14,6,8,7*5,0.3,4.53,2.21,2.32,6
,11,14,8,6,7*6,0.3,4.98,2.36,2.62,6
,12,13,6,7,6.5*4,0.3,5.33,2.13,3.2,7
